mape,lead_time,service_level,stockout_mult,ss_gauss,ss_emp,tc_gauss,tc_emp,pct_reduction_TC
7,10,0.95,0.4,308.4472800370612,419.4883008504032,86016.1521244511,73089.28378628955,15.028419685012773
7,10,0.95,1.0,308.4472800370612,419.4883008504032,119575.57645905475,87175.95572920961,27.095517069022417
7,10,0.95,2.0,308.4472800370612,419.4883008504032,175507.95035006083,110653.74230074305,36.952290719572694
7,10,0.99,0.4,436.22159860794903,593.2613741068108,88068.10851724539,65662.41176455843,25.441328455804747
7,10,0.99,1.0,436.22159860794903,593.2613741068108,124610.59279270271,68479.74615314245,45.04500410566005
7,10,0.99,2.0,436.22159860794903,593.2613741068108,185514.73325179826,73175.30346744914,60.55552991140135
7,14,0.9,0.4,267.1032237576949,363.26038431046504,83509.80305435362,82452.56494587116,1.2660047920294337
7,14,0.9,1.0,267.1032237576949,363.26038431046504,113340.40246289017,110625.90883171126,2.3949920524304504
7,14,0.9,2.0,267.1032237576949,363.26038431046504,163058.06814378445,157581.4819747781,3.3586723008254418
7,14,0.95,0.4,342.8199849867605,466.2351795819943,86033.16701096347,73112.42403194639,15.018327730944225
7,14,0.95,1.0,342.8199849867605,466.2351795819943,119592.59134556713,87199.09597486645,27.086540233164193
7,14,0.95,2.0,342.8199849867605,466.2351795819943,175524.96523657322,110676.8825463999,36.94521893382564
7,14,0.99,0.4,484.83320023995435,659.373152326338,88092.17182230573,65695.1378594405,25.424545109460112
7,14,0.99,1.0,484.83320023995435,659.373152326338,124634.65609776304,68512.47224802451,45.02935668688849
7,14,0.99,2.0,484.83320023995435,659.373152326338,185538.79655685858,73208.0295623312,60.5430072195728
7,21,0.9,0.4,308.42423627584395,419.4569613351478,83530.25743347804,82480.38290148038,1.256879320447156
7,21,0.9,1.0,308.42423627584395,419.4569613351478,113360.85684201459,110653.72678732047,2.3880642137937556
7,21,0.9,2.0,308.42423627584395,419.4569613351478,163078.52252290887,157609.2999303873,3.3537356777029133
7,21,0.95,0.4,395.8544212313793,538.3620128746759,86059.41967031253,73148.12764866112,15.002764451716793
7,21,0.95,1.0,395.8544212313793,538.3620128746759,119618.84400491619,87234.79959158118,27.072694676771885
7,21,0.95,2.0,395.8544212313793,538.3620128746759,175551.21789592228,110712.58616311463,36.934310402362485
7,21,0.99,0.4,559.8371573412107,761.3785339840467,88129.29964858315,65745.63170317779,25.398667678808934
7,21,0.99,1.0,559.8371573412107,761.3785339840467,124671.78392404047,68562.9660917618,45.00522577463432
7,21,0.99,2.0,559.8371573412107,761.3785339840467,185575.924383136,73258.52340606849,60.52369204163546
8,7,0.9,0.4,249.2444216604928,338.97241345827024,83500.96274075666,82440.5421193793,1.2699501737119117
8,7,0.9,1.0,249.2444216604928,338.97241345827024,113331.56214929321,110613.88600521939,2.397987014856274
8,7,0.9,2.0,249.2444216604928,338.97241345827024,163049.2278301875,157569.45914828623,3.3608062760090736
8,7,0.95,0.4,319.89868070329635,435.0622057564831,86021.8207002303,73096.99304934927,15.025057067696338
8,7,0.95,1.0,319.89868070329635,435.0622057564831,119581.24503483396,87183.66499226935,27.092526117391753
8,7,0.95,2.0,319.89868070329635,435.0622057564831,175513.61892584004,110661.45156380278,36.9499345742733
8,7,0.99,0.4,452.4167432184803,615.2867707771333,88076.12530114422,65673.31459066084,25.43573599983551
8,7,0.99,1.0,452.4167432184803,615.2867707771333,124618.60957660154,68490.64897924486,45.039790435838164
8,7,0.99,2.0,452.4167432184803,615.2867707771333,185522.75003569707,73186.20629355154,60.55135756694554
8,10,0.9,0.4,274.6539757313932,373.5294069946948,83513.54076391425,82457.64823087363,1.2643369247455802
8,10,0.9,1.0,274.6539757313932,373.5294069946948,113344.14017245082,110630.99211671374,2.3937259143781775
8,10,0.9,2.0,274.6539757313932,373.5294069946948,163061.80585334508,157586.56525978056,3.357770119686309
8,10,0.95,0.4,352.5111771852128,479.41520097188936,86037.96426319217,73118.94829497742,15.015483082206796
8,10,0.95,1.0,352.5111771852128,479.41520097188936,119597.38859779583,87205.62023789748,27.084009726024505
8,10,0.95,2.0,352.5111771852128,479.41520097188936,175529.7624888019,110683.40680943092,36.94322533109331
8,10,0.99,0.4,498.538969837656,678.0129989792122,88098.95633678054,65704.36479912626,25.41981479558656
8,10,0.99,1.0,498.538969837656,678.0129989792122,124641.44061223786,68521.69918771026,45.024946076415546
8,10,0.99,2.0,498.538969837656,678.0129989792122,185545.5810713334,73217.25650201694,60.53947710354342
8,14,0.9,0.4,305.26082715165126,415.1547249262457,83528.69150937287,82478.25324469735,1.2575777803937638
8,14,0.9,1.0,305.26082715165126,415.1547249262457,113359.29091790943,110651.59713053746,2.388594499354079
8,14,0.9,2.0,305.26082715165126,415.1547249262457,163076.95659880372,157607.17027360428,3.3541135665512942
8,14,0.95,0.4,391.7942685562977,532.8402052365649,86057.40984777774,73145.3942900138,15.003955592671565
8,14,0.95,1.0,391.7942685562977,532.8402052365649,119616.83418238141,87232.06623293387,27.073754434990356
8,14,0.95,2.0,391.7942685562977,532.8402052365649,175549.2080733875,110709.85280446731,36.93514541051898
8,14,0.99,0.4,554.0950859885191,753.5693169443862,88126.4572568495,65741.76605042003,25.400648004251476
8,14,0.99,1.0,554.0950859885191,753.5693169443862,124668.94153230682,68559.10043900405,45.00707265470961
8,14,0.99,2.0,554.0950859885191,753.5693169443862,185573.08199140235,73254.65775331073,60.52517047881727
8,21,0.9,0.4,352.4848414581074,479.37938438302604,83552.06794265792,82510.04519396502,1.2471537501717331
8,21,0.9,1.0,352.4848414581074,479.37938438302604,113382.66735119448,110683.38907980513,2.380679811516991
